News,Date
Regional Sales Boost EABL’s Half-Year Earnings,"JANUARY 29, 2021"
Jane Karuku Named EABL’s Group Managing Director,"DECEMBER 13, 2020"
Kenya’s Senate accuses EABL of unfair trade practices,"NOVEMBER 19, 2020"
EABL Appoints Ms Ory Okolloh as Non-Executive Director,"OCTOBER 22, 2020"
EABL to Hold Virtual AGM on 16th September,"AUGUST 20, 2020"
EABL Full-Year Profits Down by 39%,"AUGUST 2, 2020"
UK-based Diageo Plc consolidates its shareholding in EABL,"JULY 25, 2020"
Citi Downgrades EABL Earnings Forecast,"MAY 22, 2020"
COVID-19 disruptions trigger EABL’s profit warning,"MAY 16, 2020"
EABL Appoints New Company Secretary,"MARCH 31, 2020"
EABL to Acquire 30% Stake in Serengeti Breweries,"MARCH 20, 2020"
EABL Raises Stake in Serengeti to 75%,"FEBRUARY 4, 2020"
EABL HY Profits up 9% to Hit KSh7.2 Billion,"JANUARY 31, 2020"
EABL Relief as Government Grants Tax Exemption on Select Beer,"JANUARY 17, 2020"
Martin Oduor-Otieno takes over as EABL Chairman,"NOVEMBER 13, 2019"
EABL investors approve KSh36 million directors’ fee,"SEPTEMBER 25, 2019"
Minority investors in Serengeti Breweries to pay KSh3.2 billion in EABL’s debt-equity conversion deal,"SEPTEMBER 11, 2019"
EABL to pay 14% interest on medium-term note,"SEPTEMBER 9, 2019"
EABL puts KSh22 billion toward renewable energy and water purification system,"AUGUST 7, 2019"
EABL to lay off 100 staff in a restructuring plan,"AUGUST 1, 2019"
EABL’s net profits jump to KSh11.5 billion,"JULY 26, 2019"
"With delayed long rains, more taxes would burden Kenyans – EABL","APRIL 22, 2019"
EABL Director Paul Gallagher Resigns,"APRIL 4, 2019"
EABL bond holders to receive interest on 1st April,"MARCH 13, 2019"
EABL Full Year Net Profit Falls By 15% to Sh 7.3 Billion,"AUGUST 2, 2018"
EABL to Begin Production at New Sh15b Western Kenya Brewery,"JULY 24, 2018"
EABL Books Office Space in the Upcoming Garden City Business Park,"APRIL 2, 2018"
EABL Half Year Earnings Plunge 11.3% on weak sales in Kenya,"JANUARY 26, 2018"
"EABL full-year net profit up 6%, slashes operating costs","JULY 27, 2017"
Funding for EABL’s Proposed Sh 15Bn Kisumu Brewery Not Yet Finalized,"JUNE 29, 2017"
EABL Medium-Term Bond Oversubscribed By 41% – Reuters,"MARCH 29, 2017"
EABL spotted in the Markets seeking Ksh 6 Billion Debt Financing,"MARCH 12, 2017"
EABL Half Net Profit Tumbles By Sh 2.2 Billion,"JANUARY 27, 2017"
EABL Named Best Graduate Employer in Africa,"SEPTEMBER 19, 2016"
EABL under investigation over allegations of tax avoidance,"SEPTEMBER 8, 2016"
Safaricom’s value now Higher than all NSE Banks & EABL merged,"AUGUST 3, 2016"
"EABL profits up by 7% to Ksh 10.3 Billion, driven by recovery of Senator","JULY 29, 2016"
Andrew Cowan appointed as New EABL group MD,"JUNE 10, 2016"
"Heavy Foreign Trades on Safaricom, BAT & EABL, Collymore Refutes Bank Acquisition rumors","JUNE 9, 2016"
Martin Odiwuor returns to EABL Board,"MAY 26, 2016"
EABL strikes Ksh 7.7 Billion In Half Year Results,"JANUARY 29, 2016"
EABL voted second most preferred employer in Africa,"JANUARY 27, 2016"
EABL Senior Manager Exposed in BAT Bribery scandal Resigns,"DECEMBER 2, 2015"
Moody’s Maintains Negative Outlook on Sub Saharan African Economies,"JANUARY 13, 2021"
NSE Weekly turnover rises 7% to KSh 1.5 Billion,"JANUARY 9, 2021"
The Best & Worst Performing Stocks at the NSE in 2020,"DECEMBER 29, 2020"
NSE Turnover Rises 124% to KSh 511 Million,"DECEMBER 24, 2020"
NSE daily turnover drops 52% to KSh 149.3 Million,"DECEMBER 21, 2020"
Derivatives market remains Lacklustre as NSE issues New Pricing,"DECEMBER 16, 2020"
Absa Life Assurance Kenya Names Githanji Waiguru as Managing Director,"DECEMBER 15, 2020"
"Markets Regulator to Cut Dominance of Foreigners, Big Firms at NSE","DECEMBER 14, 2020"
NSE Weekly Turnover down 49.62% to KSh 2.7 Billion on stalled Brexit talks,"DECEMBER 14, 2020"
Ory Okolloh Resigns from Stanbic Board WEF 9th Dec,"DECEMBER 10, 2020"
Foreign Investors Push up Activity at the NSE,"DECEMBER 7, 2020"
NSE Turnover Remains Steady at KSh 1.1 Billion,"DECEMBER 7, 2020"
NSE Turnover Rises 6% to KSh561.86 Million,"NOVEMBER 28, 2020"
Solar Workstations from Nigeria Making Waves,"NOVEMBER 29, 2020"
NSE Turnover down 47% to KSh 480.8 Million,"NOVEMBER 25, 2020"
Turnover at the NSE rises 107% to KSh 435.40 Million,"NOVEMBER 20, 2020"
NSE Records a Turnover of KSh 266.8 Million,"NOVEMBER 17, 2020"
NSE turnover rises 42% to KSh 587.9 Million,"NOVEMBER 14, 2020"
NSE turnover rises 338% to KSh 413.2 Million,"NOVEMBER 10, 2020"
CMA Seeks to Resuscitate Corporate Bonds Market,"NOVEMBER 7, 2020"
NSE turnover drops by 5% to KSh 598 Million,"NOVEMBER 5, 2020"
Unclaimed Assets Surpass KSh17 Billion as UFAA Deadline Lapses,"NOVEMBER 2, 2020"
Global Markets Q3 Earnings Highlights,"OCTOBER 29, 2020"
NSE Turnover Picks Up to KSh 442.97 Million,"OCTOBER 26, 2020"
Citi Projects Safaricom’s Net earnings to Hit KSh78.7 Billion in 2023,"OCTOBER 25, 2020"
NSE Turnover Advances to KSh 610.46 Million,"OCTOBER 23, 2020"
Kenya’s financial market drops to 7th position in Absa 2020 Index,"OCTOBER 16, 2020"
Kenya’s Huge Public Debt Bill raises Red flags,"OCTOBER 12, 2020"
Pandemic Causes KSh 22 Billion Shrink in Advertising Spend,"OCTOBER 7, 2020"
NSE turnover plunges to KSh 182.7 Million,"SEPTEMBER 30, 2020"
Client Sues Cytonn Investments Over Unpaid Dues,"SEPTEMBER 28, 2020"
