News,Date
NSE 2020 Equity turnover Fell 27.5% as investors fled pandemic,"JANUARY 27, 2021"
Dutch Development Bank Gives Equity Bank $5.4 B Loan Guarantee to Support MSMEs,"JANUARY 13, 2021"
"Equity Group get nod to merge its subsidiary with BCDC Bank, Congo","JANUARY 1, 2021"
Equity Group’s Balance Sheet Crosses $10 Billion Mark After BCDC Migration,"DECEMBER 23, 2020"
Equity Group Appoints Christopher Newson as New Executive Director,"DECEMBER 17, 2020"
"DOB Equity Invests in Victory Farms, East Africa’s Largest Fish Farmer","NOVEMBER 25, 2020"
Ex-Deloitte Executive Samuel Onyango Joins Equity Bank Board,"NOVEMBER 25, 2020"
Equity’s VC Arm to Construct Kigali Financial Towers,"NOVEMBER 19, 2020"
Equity Group Q3 Net Earnings drop 14.6% to KSh 14.8 Billion,"NOVEMBER 12, 2020"
"KCB, Equity, Coop, NCBA, DTB on List of Africa’s Top Lenders","OCTOBER 11, 2020"
Equity Bank Appoints Erastus Mwencha as Board Chairman,"AUGUST 27, 2020"
DOB Equity Boosts Tanga Fresh’s Processed Milk Production with New Capital Investment,"AUGUST 26, 2020"
Equity Group Half Year Profit Falls 24.4% Y.o.Y to KSh 9.1 Billion,"AUGUST 18, 2020"
Equity Group Completes Acquisition of 66.53pc Stake in BCDC for $95M,"AUGUST 11, 2020"
NSE Equity Market Turnover Hits KSh 482 Million,"AUGUST 10, 2020"
NSE Equity Turnover Rises 85% to KSh 1.01 Billion,"JULY 21, 2020"
Equity Group Takes Over KSh2.1 Billion EA Cables Loan,"JULY 13, 2020"
Equity Group to Open a Non-operating Insurance Holding Company,"JULY 1, 2020"
"Equity Group Chair David Ansell Retires, Isaac Macharia Takes Over","JUNE 30, 2020"
Equity Bank to Receive KSh 5.4 Billion IFC Loan to Support SMEs,"JULY 23, 2020"
Equity Group Pulls Out of Atlas Mara Acquisition Deal,"JUNE 23, 2020"
What will 2020 hold for Equity Group?,"JUNE 15, 2020"
NSE Issues New Initial Margin Requirements For Equity Futures,"JUNE 15, 2020"
"Private Equity, Venture Capital Firms to come under CMA Oversight","JUNE 13, 2020"
Equity Group Q 1 Net Earnings drop 14% to KSh 5.3 Billion,"MAY 28, 2020"
Equity Group Withdraws KSh. 9.5 Billion Dividend Payout,"MAY 27, 2020"
Equity Reschedules Customer Loans,"MAY 25, 2020"
Kenya Chamber of Commerce Signs MOU with Equity Bank to offer Ksh. 200 billion to SMEs,"OCTOBER 13, 2020"
Equity Bank’s Digital Resilience in the Face of COVID-19,"MAY 12, 2020"
What holds for Equity Group in 2020,"JUNE 5, 2020"
Equity Group Foundation & Mastercard Foundation Commit 1.1 Billion To COVID-19 Response In Kenya,"APRIL 29, 2020"
Equity Bank to Offer More on Digital Platforms During Covid19 Outbreak,"MARCH 25, 2020"
Equity Group to Set Up a Holding Company for its Insurance Business,"APRIL 8, 2020"
Equity Bank Earnings Up 14% to Sh 22.6 Billion,"MARCH 19, 2020"
Polycarp Igathe Rejoins Equity as Chief Commercial Officer,"MARCH 16, 2020"
Asian Equity Markets remain upbeat,"JANUARY 17, 2020"
Equity Group Atlas Mara Deal Remains Uncertain,"JANUARY 2, 2020"
Equity Bank’s New Look and Regional Expansion,"DECEMBER 17, 2019"
Equity Group CEO Ranked Among Bloomberg’s Top 50 Business Leaders,"DECEMBER 10, 2019"
Equity Group Aims to be in 15 African Countries by 2026,"DECEMBER 5, 2019"
Equity Group’s US $105 Million Deal with DRC Bank Gets Stable Outlook,"NOVEMBER 26, 2019"
Equity Group announces KSh 10.6 billion Acquisition of majority stake in Congolese Bank,"NOVEMBER 20, 2019"
South African Airways in Talks with Regulators on its Potential Equity Partners,"NOVEMBER 18, 2019"
Equity Group Hits KSh100bn in Diaspora Remittances,"NOVEMBER 21, 2019"
Equity Group’s Q3 Profits hit KSh 17.3 billion,"NOVEMBER 12, 2019"
