News,Date
KCB Inks Acquisition Deal For Atlas Mara’s 2 Banks to Increase Regional Footprint,"NOVEMBER 26, 2020"
KCB Shares Trading at 40% Discount- Citi Research,"NOVEMBER 20, 2020"
KCB Sees Full-year Profits Declining by Over 25%,"NOVEMBER 18, 2020"
KCB Posts KSh10.9 Billion Net Profit in Q3,"NOVEMBER 11, 2020"
KCB goes green with US$150 Million IFC credit,"OCTOBER 14, 2020"
"KCB, Equity, Coop, NCBA, DTB on List of Africa’s Top Lenders","OCTOBER 11, 2020"
KCB Appoints Dr James Bagaka as Non-Executive Director,"OCTOBER 9, 2020"
KCB to Pay KSh3.2 Billion to Imperial Bank Depositors,"SEPTEMBER 8, 2020"
KCB Half-Year Net Earnings Down by 40% to KSh 7.6 Billion,"AUGUST 13, 2020"
Ahmed R.M. Mohamud Joins KCB Board,"JULY 20, 2020"
Fitch Revises KCB Outlook to Negative,"JULY 15, 2020"
Treasury Receives KSh 2.12 Billion in KCB Dividends,"JUNE 18, 2020"
KCB Shareholders Appoint PwC as Company Auditors,"JUNE 5, 2020"
Another Blow to KPMG as it Loses KCB Audit Job,"JUNE 2, 2020"
KCB to Pay KSh3.2B for Imperial Bank Assets and Liabilities,"MAY 23, 2020"
KCB Q1 Earnings Rise 8% to KSh6.3 Billion,"MAY 21, 2020"
KCB to Pump KSh3 Billion Capital into NBK,"MAY 18, 2020"
KCB Group CEO Joshua Oigara Earned KSh 299 Million Annual Pay in 2019,"MAY 17, 2020"
KCB Group to hold virtual AGM,"MAY 18, 2020"
KCB-MPesa Users to Access KSh 30 Billion Kitty,"MARCH 23, 2020"
KCB Group Net Earnings Up Marginally to KSh 25.2 Billion,"MARCH 16, 2020"
KCB Injects KSh 5 billion Into Recently Acquired National Bank,"JANUARY 13, 2020"
KCB Recalls KSh263 Million Loan to EAPCC,"JANUARY 4, 2020"
Former PwC Regional CEO Anne Eriksson Joins KCB Group Board,"DECEMBER 23, 2019"
KCB Group Redesigns its Mobiloan Product as Virus hits Loan Book,"NOVEMBER 30, 2020"
KCB Group Plc Tops the Banking Sector with KSh 19.2 Billion Net Profit,"NOVEMBER 21, 2019"
KCB Group Jumps 92 Positions in The 2019 World’s Top 1000 Banks,"OCTOBER 16, 2019"
KCB’s Non-performing Loans expected to rise to 12% of Gross Loans,"OCTOBER 7, 2019"
KCB Eyes Ethiopia and DRC in Regional Expansion Drive,"OCTOBER 7, 2019"
KCB Lists Additional 142.9 Million Shares After Acquisition of NBK,"OCTOBER 4, 2019"
KCB appoints a receiver manager for Mumias Sugar,"SEPTEMBER 25, 2019"
Treasury approves KCB-NBK union,"SEPTEMBER 13, 2019"
KCB bank signs MOU with Japanese Lender,"SEPTEMBER 10, 2019"
Competition regulator warns KCB Group against laying off NBK staff,"SEPTEMBER 10, 2019"
87.7% of NBK shareholders accept KCB Group’s buyout offer,"SEPTEMBER 6, 2019"
NBK acquisition will weaken KCB Group’s financials in the short term – Moody’s,"SEPTEMBER 5, 2019"
KCB Group picks Paul Russo to head NBK for the transitional 2 year period,"SEPTEMBER 3, 2019"
Kenya’s Central Bank approves National Bank acquisition by KCB Group,"SEPTEMBER 2, 2019"
KCB to take over 7.5% of Imperial Bank’s outstanding deposit balance.,"SEPTEMBER 2, 2019"
KCB’s investment in technology pays off,"AUGUST 29, 2019"
KCB revises Timetable for NBK take-over offer,"AUGUST 29, 2019"
KCB Group half year net profits jump to KSh12.7 billion,"AUGUST 16, 2019"
KCB urges NBK investors to swap their stocks,"AUGUST 13, 2019"
KCB Group to increase investment in South Sudan,"AUGUST 9, 2019"
MPs stop KCB- National Bank acquisition,"AUGUST 7, 2019"
KCB M-Pesa increases monthly interest charge to 7.5 percent,"AUGUST 7, 2019"
KCB –National Bank union to be finalized by 25th August,"JULY 10, 2019"
