News,Date
Citi Downgrades Safaricom Stock Due to Regulatory Uncertainty,"JANUARY 30, 2021"
"Safaricom Halts 5G Rollout Plans, Focuses on 4G","JANUARY 11, 2021"
"Safaricom Stock Touches Record High, Pushing Market Cap to Sh 1.4 Trillion","JANUARY 6, 2021"
Safaricom Cuts M-Pesa Send Money Transaction Charges by 45%,"DECEMBER 22, 2020"
Safaricom Plc sets eyes on Kenya’s Money Market,"DECEMBER 22, 2020"
US Govt Approves $500 Million Loan to Safaricom Consortium for Ethiopia Expansion Project,"DECEMBER 21, 2020"
Safaricom Lobbies for End of Freebies on its M-PESA Platform,"DECEMBER 10, 2020"
Safaricom Rethinks Lowering M-Pesa Transaction Fees as Waivers Persist,"NOVEMBER 28, 2020"
"Safaricom, Vodacom Joint M-Pesa Platform Monthly Transactions Hit KSh2.25 Trillion","NOVEMBER 26, 2020"
"Safaricom, NCBA to Enhance Mshwari System","NOVEMBER 20, 2020"
Safaricom to Own 51% in Ethiopian Telco,"NOVEMBER 18, 2020"
Safaricom Half Year Net Earnings drop 6% to KSh 33.1 Billion on pandemic woes,"NOVEMBER 9, 2020"
"Markets eye Safaricom H1, 2020/21 financial results","NOVEMBER 9, 2020"
"Safaricom Unveils New Mobile Prefixes; 0112, 0113, 0114, 0115","NOVEMBER 5, 2020"
Safaricom Appoints New Directors to its Board,"NOVEMBER 2, 2020"
Citi Projects Safaricom’s Net earnings to Hit KSh78.7 Billion in 2023,"OCTOBER 25, 2020"
Safaricom’s Contribution to Kenya’s GDP Hits 6%,"OCTOBER 14, 2020"
COVID-19 Drives Up Safaricom’s Fuliza Loans to KSh 1 Billion Daily,"OCTOBER 7, 2020"
M-Tiba Propels Safaricom to Global Acclamation,"SEPTEMBER 22, 2020"
"Over 200,000 Businesses Join Safaricom’s Lipa Na M-PESA Service","SEPTEMBER 14, 2020"
Safaricom Dominates NSE as Turnover Slides to KSh 398.6 Million,"SEPTEMBER 11, 2020"
Safaricom’s Spark Fund Dedicates Ksh 540m to Grow Local Startups,"AUGUST 25, 2020"
Safaricom to Upgrade SIM Card platform,"AUGUST 26, 2020"
Safaricom’s Market Cap Dominance at NSE Rises to 56%,"AUGUST 12, 2020"
Safaricom Extends Offer to Health Workers,"AUGUST 6, 2020"
Safaricom Eyes Home Fibre as Virus Keeps Subscribers at Home,"JULY 31, 2020"
"Michael Joseph, Safaricom’s New Chairman after Nganga’s 13-Year Tenure","JULY 30, 2020"
Safaricom Unveils Lipa Mdogo Mdogo Plan to Offer 4G Phones at Ksh 20 Daily,"JULY 29, 2020"
Citi Analysts Raise Safaricom Share Price Target,"JULY 27, 2020"
"Safaricom to stir local market activity as it closes books, holds virtual AGM","JULY 27, 2020"
Safaricom Introduces Alerts on Mpesa Transaction Limits,"JULY 22, 2020"
Safaricom Partners With Aviat Networks for 5G Connectivity,"JULY 13, 2020"
Safaricom Loses Petition to Limit Free Mobile Money Transactions,"JULY 8, 2020"
Cash-rich Safaricom well placed to weather Pandemic,"JULY 5, 2020"
Safaricom Picks Ilanna Darcy as New CFO,"JULY 1, 2020"
Safaricom Among the Final 12 Firms Bidding for Ethiopia’s Telecom License,"JUNE 26, 2020"
Safaricom Launches Mpesa for Business App,"JUNE 18, 2020"
Safaricom Customers Donate Over KSh 330M in Bonga Points,"JUNE 17, 2020"
Safaricom Dominates Trading at NSE,"JUNE 13, 2020"
"Safaricom, Google offers new YouTube data bundle","JUNE 13, 2020"
Safaricom’s CFO Sateesh Kamath Takes Up New Role in Vodafone,"JULY 16, 2020"
Global Analysts Bullish on Safaricom’s Mpesa Growth Prospects,"JUNE 9, 2020"
Safaricom Customers to Access Digital Newspapers for KSh20,"MAY 30, 2020"
Safaricom to Support SMEs During the Pandemic,"MAY 27, 2020"
Safaricom Tackles Fraud in Latest MPESA Update,"MAY 26, 2020"
Safaricom’s Revamped Mpesa for Business Offering is a Big Win for SMEs,"MAY 22, 2020"
Safaricom Biggest Mover as Market Turnover Declined to KSh 264 Million,"MAY 21, 2020"
Safaricom Ranked East Africa’s Most Valuable Firm,"MAY 19, 2020"
Safaricom Wins Case on Okoa Jahazi Copyright,"MAY 13, 2020"
Safaricom Pushes Turnover at NSE to KSh 1.6 Billion,"MAY 13, 2020"
How Safaricom Powers Different Value Chains in Kenya,"MAY 12, 2020"
"Safaricom : If not now, then when?","MAY 6, 2020"
Safaricom Picks Sitoyo to Head New Mpesa Venture,"MAY 7, 2020"
Safaricom Historical Performance Overview 2010 – 2020,"MAY 6, 2020"
Safaricom & Visa Sign Partnership to develop products around M-PESA,"MAY 2, 2020"
Safaricom Net Earnings Rise 19.5% to KSh 74.7 Billion,"APRIL 29, 2020"
"Safaricom, Banks dominate activity at NSE","APRIL 18, 2020"
Safaricom a Safer Bet in Market Turmoil,"APRIL 7, 2020"
Safaricom and Vodacom Create Joint Venture To Facilitate M-PESA expansion,"APRIL 7, 2020"
Safaricom Ups Support Measures To Help Mitigate COVID-19 impact,"APRIL 2, 2020"
New Safaricom CEO Peter Ndegwa Takes Over,"APRIL 1, 2020"
Safaricom partners with PSV Operators to Collect Fares via M-PESA,"MARCH 23, 2020"
Citi Issues Strong Buy Recommendation on Safaricom Stock,"MARCH 18, 2020"
Safaricom Waives Fees for Transactions Below KSh1000,"MARCH 16, 2020"
Safaricom Becomes Amazon Web Services Reseller,"FEBRUARY 27, 2020"
Safaricom to Use Huawei for 5G Rollout,"FEBRUARY 20, 2020"
Safaricom Targets Additional 2 Million Customers with New Prefix Numbers,"FEBRUARY 18, 2020"
Safaricom Investment Cooperative Defers Dividends,"FEBRUARY 11, 2020"
"Safaricom’s Entry into Ethiopia is High Risk, High Return – Citi","JANUARY 23, 2020"
Safaricom Clear to Launch 5G,"JANUARY 21, 2020"
SBG Securities Maintains Buy Recommendation on Safaricom,"JANUARY 20, 2020"
Prepaid Cooking Gas Debuts in Kenya as Safaricom Partners with M-Gas,"JANUARY 15, 2020"
Safaricom Shares Rise to An All-Time High,"JANUARY 10, 2020"
Safaricom Shares Boost Activity at the NSE,"DECEMBER 18, 2019"
"Safaricom in 2020; Countrywide 4G Coverage by July, New Products around Mpesa, Ethiopia Expansion","DECEMBER 11, 2019"
"Safaricom Introduces Mali, a new Investment Tool Powered by MPesa","DECEMBER 4, 2019"
Safaricom Partners with KBL to Connect Coolers Using IoT Tech,"NOVEMBER 23, 2019"
Safaricom to Partner With Vodacom On Expansion into Ethiopia,"NOVEMBER 4, 2019"
Safaricom Investment Co-op joins NSE’s Ibuka Program,"NOVEMBER 1, 2019"
Safaricom’s Half-Year Profits Jump 14.4% to KSh35 billion,"NOVEMBER 1, 2019"
Safaricom Appoints Peter Ndegwa as CEO,"OCTOBER 25, 2019"
"Safaricom Launches New Strategy, No Expiry Bundles","OCTOBER 23, 2019"
How Safaricom’s Ecosystem Enhances job Creation,"OCTOBER 16, 2019"
Safaricom Rebrands Mpesa Logo in Celebration of Eliud Kipchoge,"OCTOBER 9, 2019"
Safaricom bags the 2019 Employer of the year award.,"SEPTEMBER 23, 2019"
Safaricom’s Investment In Infrastructure Pays Off,"SEPTEMBER 22, 2019"
Safaricom Investment Co-operative Breaks Ground for The Zaria Village,"SEPTEMBER 18, 2019"
AAR Insurance Partners with CarePay to Enable use of Safaricom’s M-Tiba,"SEPTEMBER 18, 2019"
Digging Into Safaricom Investment Co-operative’s Latest Project “The Zaria Village”,"SEPTEMBER 12, 2019"
Safaricom Investment Co-operative Unveils The Zaria Village,"SEPTEMBER 6, 2019"
Safaricom’s dividend payout increases by 70%,"SEPTEMBER 2, 2019"
Safaricom leverages on technology to offer healthcare solutions,"AUGUST 24, 2019"
Michael Joseph offloads his shares in Safaricom,"AUGUST 2, 2019"
Safaricom PLC’s Annual General Meeting on 30 August 2019.,"AUGUST 1, 2019"
Safaricom’s Masoko to expand beyond Kenya by 2020,"JULY 18, 2019"
Safaricom appoints Michael Joseph as Interim CEO,"JULY 2, 2019"
Latest Safaricom feature allows you to place a call without airtime,"JUNE 18, 2019"
HF Group CIO George Njuguna Joins Safaricom,"JUNE 19, 2019"
"Safaricom, Absa on the prestigious Forbes Global 2000 annual ranking","JUNE 24, 2019"
Senior Safaricom staff charged with theft & unlawfully sharing customer data,"JUNE 11, 2019"
Safaricom’s CEO regrets not expanding to other African Markets,"JUNE 5, 2019"
Safaricom and Vodacom to Spend $13 million to Purchase M-Pesa’s Intellectual Rights,"MAY 26, 2019"
Safaricom extends CEO Bob Collymore’s contract to August 2020,"MAY 23, 2019"
Safaricom contributes 6.5% to Kenya’s GDP,"MAY 6, 2019"
"Safaricom reports record Sh 63 Billion profit, declares Sh 75 Billion dividend payout","MAY 6, 2019"
Safaricom’s New CEO to be revealed in June,"MAY 2, 2019"
Equity Group and Safaricom renew partnership,"APRIL 30, 2019"
